Artist,Gender
Terence Trent D'Arby,man
Young Thug,man
Linda Ronstadt,woman
Katy Perry,woman
Pinkfong,band
Des'Ree,woman
No Good But So Good,band
Olivia Newton-John,woman
H.E.R.,woman
White Town,man
Gilbert O'Sullivan,man
David Lee Roth,man
Kool & The Gang,band
Ollie & Jerry,band
Ace Of Base,band
The Jaggerz,band
Ricky Martin,man
Warren Zeiders,man
Jeannie C. Riley,woman
Paul Young,man
Timmy T,man
Sammi Smith,woman
Blues Magoos,band
Tyga,man
Everlast,man
Belinda Carlisle,woman
Imagine Dragons,band
Al Stewart,man
Eric Williams,man
John Paul Young,man
Fat Joe,man
Yk Osiris,man
Gerry Rafferty,man
Cory Gunz,man
Freddie Hart,man
Breakfast Club,band
Young Jeezy,man
The Outfield,band
Taylor Dayne,woman
Maroon 5,band
Stevie Nicks,woman
Roger Voudouris,man
Kenny Loggins,man
Lesley Gore,woman
Pharrell Williams,man
Firehouse,band
Tony Joe White,man
Harry Nilsson,man
Lil Nas X,man
John Stewart,man
Scarface,man
The Hues Corporation,band
Blake Shelton,man
Vic Dana,man
Vonda Shepard,woman
Caron Wheeler,woman
The Jacksons,band
Cobra Starship,band
Whitney Houston,woman
Cardi B,woman
Patty Duke,woman
Blessid Union Of Souls,band
Mac Davis,man
Gene & Debbe,band
Olivia O'Brien,woman
Mumford & Sons,band
Instant Funk,band
Das Efx,band
Jim Croce,man
Nitty Gritty Dirt Band,band
Kris Kristofferson,man
Hootie & The Blowfish,band
Mikky Ekko,man
Mr. President,band
Paul Russell,man
Michael Martin Murphey,man
Linear,band
Jonathan Edwards,man
Zac Brown Band,band
Shocking Blue,band
Slim Harpo,man
Skylark,band
Ozark Mountain Daredevils,band
Sabrina Carpenter,woman
The Searchers,man
Dixie Chicks,band
Mokenstef,band
The Chainsmokers,band
The Easybeats,band
Amy Grant,woman
Polo G,man
Rich Homie Quan,man
Migos,band
The Animals,band
The Irish Rovers,band
Owl City,band
Future,man
Chappell Roan,woman
Paramore,band
Will.I.Am,man
Rob Thomas,man
Weezer,band
Babyface,man
5 Seconds Of Summer,band
Dev,woman
Nick Lachey,man
Dr. John,man
Mkto,band
The Beau Brummels,band
Surf Mesa,man
Blu Cantrell,woman
Animotion,band
Zhané,band
Maren Morris,woman
Leighton Meester,woman
Robyn,woman
Rex Smith,man
Savage Garden,band
Loggins And Messina,band
Tommy James And The Shondells,band
Donna Fargo,woman
Tove Lo,woman
Billie Eilish,woman
Kim Carnes,woman
The Shades Of Blue,band
Travis Scott,man
Blue Cheer,band
Katrina And The Waves,band
Gwen Stefani,woman
Village People,band
Gnarls Barkley,band
Positive K,man
Rockwell,man
Bloodstone,band
Robin Mcnamara,man
Jordan Davis,man
Lady Saw,woman
Gerald Levert,man
Mobb Deep,band
Mark Wills,man
Delaney & Bonnie & Friends,band
Christopher Cross,man
Sanford-Townsend Band,band
Old Dominion,band
Jungkook,man
Jason Derulo,man
When In Rome,band
Michael Johnson,man
Blaque,band
Richard Marx,man
Taylor Swift,woman
Finger Eleven,band
Run–D.M.C.,band
